[admin.py:29] - 2023-10-24 21:05:06,933 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-10-24 21:05:07,429 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-24 21:05:07,430 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-24 21:05:07,430 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-10-24 21:05:07,430 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-10-24 21:05:07,431 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:190] - 2023-10-24 21:05:07,432 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-24 21:05:07,432 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-24 21:05:07,432 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-10-24 21:05:07,433 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-10-24 21:05:07,433 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-10-24 21:05:07,434 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-24 21:05:07,434 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-24 21:05:07,434 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-10-24 21:05:07,434 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-10-24 21:05:07,434 - DEBUG - STREAM b'IDAT' 91 1063
[admin.py:29] - 2023-10-24 21:09:42,502 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-10-24 21:09:42,760 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-24 21:09:42,761 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-24 21:09:42,761 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-10-24 21:09:42,761 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-10-24 21:09:42,761 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:190] - 2023-10-24 21:09:42,761 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-24 21:09:42,761 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-24 21:09:42,762 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-10-24 21:09:42,762 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-10-24 21:09:42,762 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-10-24 21:09:42,762 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-24 21:09:42,763 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-24 21:09:42,763 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-10-24 21:09:42,763 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-10-24 21:09:42,763 - DEBUG - STREAM b'IDAT' 91 1063
[admin.py:29] - 2023-10-24 21:34:53,242 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-10-24 21:34:53,434 - DEBUG - STREAM b'IHDR' 16 13
